Nr DIEx DA MISSÃO	EVENTO OU MISSÃO	PRAZO	DIAS PARA O EVENTO	MILITAR RESPONSÁVEL	SITUAÇÃO	CLASSE	DATA DA ÚLTIMA ATUALIZAÇÃO COM O E-4	ANOTAÇÕES	Nr DIEx ENCAMINHAMENTO PARA OMDS	Nr DIEx PARA O ESC SUPERIOR
308-S2/6° BI Amv	Início do pedido de cadastramento de veículos para estacionamento no Forte Ipiranga 2026	25 jan.	-172	-	RESOLVIDO	-		-	-	-
 197-Escalão Logístico/2ªRM	capacidade de fabricação e/ou manutenção de materiais Cl II pelas OM logísticas	25 jan.	-172	ST Richardson	RESOLVIDO	Cl II		"capacidade de fabricação e/ou manutenção de materiais Cl II pelas OM logísticas

- Doc já direcionado ao 22º B Log

- Ch COS Info que confeccionou documento"	-	-
107-SGT/Div Op/3º CTA	Visita de Orientação Técnica (VOT) Emergencial às OM da 12ª Bda Inf Amv	27 jan.	-170	Maj Filipe	RESOLVIDO	VISITAS		"1. Verificar com a Cia Cmdo sobre o Alojamento - OK.
2. Doc de resposta Confeccionado."	459-E-4/EMG/Cmdo Bda Inf Amv	-
MISSÃO Cmt Bda	Verificar situação de mobiliario doado pela Receita federal	27 jan.	-170	Maj Filipe	RESOLVIDO	Patrimônio		"1. As Info estão no DIEx nº 7730-Fisc Adm/Div Adm/Base Adm Amv.
2. Verificar com o Fiscal como está essa situação - OK
3. Missão ficou com a Base Adm."	-	3. Missão ficou com a Base Adm.
386-S4/6° BI Amv	alterações do recebimento de material classe II - Fardamento (INFORMAÇÃO	27 jan.	-170	ST Valter	ACOMPANHAR	Cl II				
"1383-Escalão Logístico/2ªRM

307-Div Trnp/BaApLog"""	apoio para estacionamento, alojamento e alimentação Op Log Trnp Eixo Amazônico 1º semestre_(PGT/26_COLOG)	28 jan.	-169	ST Valter	RESOLVIDO	Trnp		1. O 22º B Log Amv irá Ap.	563-E-4/EMG/Cmdo Bda Inf Amv	563-E-4/EMG/Cmdo Bda Inf Amv
-	PASSAGEM DE CMDO AMAN	28 jan.	-169	Maj Filipe	RESOLVIDO	Trnp		1. Sol uma Van para Dslc de pessoal do QG.	296-E-4/EMG/Cmdo Bda Inf Amv	-
-	Verificar com a 5ª Bia AAAe o que a falta do radar implica na operacionalidade	28 jan.	-169	Maj Filipe	RESOLVIDO	MEM		1. Radar em Mnt na EMBRAER.	-	-
-	Verificar com as OMDS MEM que afetam a operacionalidade 	28 jan.	-169	Maj Filipe	RESOLVIDO	MEM		1. Consolidado de forma parcial na apresentação ao Cmt 2ª DE.	-	-
246-E4/2ª DE	Necessidade de munição de salva para o ano de 2026	28 jan.	-169	Maj Filipe	RESOLVIDO	Cl V		1. Verificado com o 20º GAC Amv apenas 2 eventos. 	-	652-E-4/EMG/Cmdo Bda Inf Amv
655-Escalão Logístico/2ªRM	PASA - Dados de aprovisionadores e auditores	28 jan.	-169	Maj Filipe	RESOLVIDO	Cl I		"1. Enviem os dados dos auditores PASA e aprovisionadores, relativos às OM de sua subordinação que possuem Serviço de Aprovisionamento.

2. Confeccionado Doc para as OMDS - "	260-E-4/EMG/Cmdo Bda Inf Amv.	650-E-4/EMG/Cmdo Bda Inf Amv
501-E-4/EMG/Cmdo Bda Inf Amv	Contato no COTER para ver recursos e Comb do APRONAL I  e FT Jacaré - DIEx nº 501-E-4/EMG/Cmdo Bda Inf Amv	28 jan.	-169	Maj Filipe	RESOLVIDO	Cl III - Comb		"1. Cel Giuvenduto conseguiu contato no COTER e CMSE.
2. Aguardando a 2ª DE enviar Doc para CMSE
3. Recebido o Comb."	501-E-4/EMG/Cmdo Bda Inf Amv	1669-Escalão Logístico/2ªRM
1900-Escalão Logístico/2ªRM	Obter Foto do Pav Mnt Cia Cmdo para fazer o photoshop	28 jan.	-169	Maj Filipe	RESOLVIDO	Patrimônio		-	-	-
112-Cmdo Bda Inf Amv/Bda Inf Amv	Pronto das apresentações para a 1ª Reunião de Comando da Bda Inf Amv 2026 ( 25 Min)	29 jan.	-168	Maj Filipe	RESOLVIDO	PREPARO F TER		-	-	-
306-S4/EM/20º GAC Amv	Solicitação de prancha para transporte de obuseiros - APRONAL 1	29 jan.	-168	Maj Filipe	RESOLVIDO	Trnp		1. Doc encaminhado à 2ª RM.	-	648-E-4/EMG/Cmdo Bda Inf Amv
"1383-Escalão Logístico/2ªRM

307-Div Trnp/BaApLog"""	Eixo Amazônico - 22º B Log Amv	30 jan.	-167	ST Valter	RESOLVIDO	Trnp		-	-	563-E-4/EMG/Cmdo Bda Inf Amv
1412-Escalão Logístico/2ªRM	situação de disponibilidade de SMEM - apoio do DCT	30 jan.	-167	Maj Filipe	RESOLVIDO	Mnt		"1.Confeccionar Doc às OMDS Sol a resposta da documentação - 
2. Aguardando resposta das OMDS na planilha on line - OK"	570-E-4/EMG/Cmdo Bda Inf Amv	706-E-4/EMG/Cmdo Bda Inf Amv
434-E-4/EMG/Cmdo Bda Inf Amv	Prazo de Sol arranchamento/alojamento EPAM	30 jan.	-167	Maj Filipe	RESOLVIDO	Cl I		1. Info às OMDS a Distr Alojamento. 	-	-
130-S/4 - FAdm/SCmt/Cmt 2º BI AMV	solicitação de cota extra combustível ÓLEO DIESEL (ADMINISTRATIVA) 2º BI Amv	30 jan.	-167	Maj Filipe	RESOLVIDO	Cl III - Comb		"1. Confeccionar Doc às OMDS sobre Sit Comb.
2.  Doc confeccionado."	-	707-E-4/EMG/Cmdo Bda Inf Amv
1681-Escalão Logístico/2ªRM	Classe III - Situação de combustível automotivo na ART/2ªRM (026-26)	30 jan.	-167	Maj Filipe	RESOLVIDO	Cl III - Comb		1. Confeccionado Doc às OMDS.	707-E-4/EMG/Cmdo Bda Inf Amv	-
265-E4/2ª DE	distribuição de rações operacionais Tipo R/2 para o primeiro semestre/2026	30 jan.	-167	Maj Filipe	RESOLVIDO	Cl I		1. Confeccionado Doc às OMDS.	708-E-4/EMG/Cmdo Bda Inf Amv	-
1726-Escalão Logístico/2ªRM	Classe III - Consumo de combustível automotivo (027-26)	30 jan.	-167	Maj Filipe	RESOLVIDO	Cl III - Comb		1. Confeccionado Doc às OMDS.	707-E-4/EMG/Cmdo Bda Inf Amv	-
"437-6° BI Amv
MISSÃO Cmt Bda"	Relatório do Paiol 6º BI Amv	30 jan.	-167	Maj Filipe	RESOLVIDO	Cl V		"1. Confeccionar Doc ao Esc Sp e Sol recursos para Mnt cercamento.
2. O 6º BI já lançou no SIGPIMA.
3. Missão ficou com a Infraesrtutura."	-	-
107-SGT/Div Op/3º CTA	Visita de Orientação Técnica (VOT) Emergencial às OM da 12ª Bda Inf Amv	30 jan.	-167	-	RESOLVIDO	VISITAS		-	459-E-4/EMG/Cmdo Bda Inf Amv	-
112-Cmdo Bda Inf Amv/Bda Inf Amv	1ª Reunião de Comando da Bda Inf Amv 2026	2 fev.	-164	Maj Filipe	RESOLVIDO	PREPARO F TER		-	-	-
1819-Escalão Logístico/2ªRM	Classe I - eixo mensal de suprimento Cl I (FEV/ 26) - Circular	2 fev.	-164	Maj Filipe	RESOLVIDO	Cl I		1. Confeccionado Doc às OMDS interessadas.	696-E-4/EMG/Cmdo Bda Inf Amv	-
1855-Escalão Logístico/2ªRM	Classe III - Solicitação de envio de valor patrimonial de carga líquida recebido em 2025	2 fev.	-164	Maj Filipe	RESOLVIDO	Cl III - Comb		1. Apenas para conhecimento.	-	-
247-E4/2ª DE	Vtr Blindada Leve Sobre Rodas GUAICURU (IVECO) - 2ª Cia Prec - resposta	2 fev.	-164	Maj Filipe	RESOLVIDO	Cl IX		1. Confeccionado Doc Info à 2ª Cia Prec.	704-E-4/EMG/Cmdo Bda Inf Amv	-
 502-E-4/EMG/Cmdo Bda Inf Amv	Classe I - remessa de ordem de fornecimento de Ração Operacional Tipo R2 - Cmdo BdaInf Amv	4 fev.	-162	Maj Filipe	RESOLVIDO	Cl I		1. Confeccionado Doc às OMDS para apanha das Rç.	762-E-4/EMG/Cmdo Bda Inf Amv	-
1617-Escalão Logístico/2ªRM	Entrega de certificados de excelência e capacitação de auditores PASA/2026	4 fev.	-162	Maj Filipe	RESOLVIDO	Cl I		"1. Informado no grupo de Wpp, devido ao prazo.
2.Confeccionado Doc às OMDS."	763-E-4/EMG/Cmdo Bda Inf Amv	-
25-Seç Dout/EMG/Cmdo Bda Inf Amv	Início dos Trabalhos de Revisão do Manual de Campanha (MC) Bda L Inf_Bda Inf Amv 	4 fev.	-162	Maj Filipe	RESOLVIDO	-		"1. Realizem a capacitação a distância, disponível no Portal de Educação do Exército
(https://portaldeeducacao.eb.mil.br/), impreterivelmente até o dia 20 Fev 2026."	-	-
	VISITA CMT 2ª DE	4 fev.	-162	-	RESOLVIDO	VISITAS		-	-	-
	PASSAGEM DE CH 2ª CGCFEx	4 fev.	-162	-	RESOLVIDO	VISITAS		-	-	-
	EPAM - 12º PEL PE	4 fev.	-162	-	RESOLVIDO	PREPARO F TER		-	-	-
2128-Escalão Logístico/2ªRM	Classe III - Determinação de taxa de evaporação em PCA (CL.III 162-25)	06 fev. 26	-160	ST Richardson	RESOLVIDO	Cl III - Comb		"1. Respondido pelo 6º BIL, 1º Esqd (DIEx nº 110-S/4/CMDO) e 5º BI Amv 
2. Falta o 2º BI Amv - 243-S/4 - FAdm/SCmt/Cmt 2º BI AMV"	-	-
"24794-Escalão Logístico/2ªRM

1844-Escalão Logístico/2ªRM"	Classe VIII - Saúde: regularização do estoque (SISCOFIS)	6 fev.	-160	ST Richardson	RESOLVIDO	Cl VIII - Sau		"1. Doc Confeccionado às OMDS 
- 22º B Log - Ok 190-Fisc Adm/22º B Log Amv
- 20º GAC - OK
- 12ª Cia E Cmb Amv - OK
- Base (Falta planilha) - Ok 
- 5ª Bia AAAe (Falta SISCOFIS)
- 2º BI Amv OK
- Ba Adm Gu Cpv  OK"	693-E-4/EMG/Cmdo Bda Inf Amv	691-E-4/EMG/Cmdo Bda Inf Amv 
417-E-3/EMG/Cmdo Bda Inf Amv	"OMDS do EPAM devem Info à 4º Seção da Bda, até dois dias úteis após o EPAM 2026, os gastos com
combustível para posterior repasse pela 2ª RM (SFC)"	9 fev.	-157	Maj Filipe	RESOLVIDO	Cl III - Comb		1. Não há necessidade	-	-
125-E4/2ª DE	Relatório de Prestação de Contas - Op MARAJOARA	9 fev.	-157	Maj Filipe	RESOLVIDO	Orçamentário		"1. Verificar quais OMDS receberam recurso para essa missão.
2. Confeccionar DIEx para as OMDS cobrando o RPC assinado no prazo.
3. Solicitado dados ao 22º B Log  - 258-E-4/EMG/Cmdo Bda Inf Amv."	-	962-E-4/EMG/Cmdo Bda Inf Am
128-E4/2ª DE	Relatório de Prestação de Contas - Op VULCANO	9 fev.	-157	Maj Filipe	RESOLVIDO	Orçamentário		"1. Verificar quais OMDS receberam recurso para essa missão.
2. Confeccionar DIEx para as OMDS cobrando o RPC assinado no prazo.
3. Confeccionado DIEx 868-E-4/EMG/Cmdo Bda Inf Amv."	-	868-E-4/EMG/Cmdo Bda Inf Amv
126-E4/2ª DE	Relatório de Prestação de Contas - Op CORE 2025	9 fev.	-157	Maj Filipe	RESOLVIDO	Orçamentário		"1. Verificar quais OMDS receberam recurso para essa missão.
2. Confeccionar DIEx para as OMDS cobrando o RPC assinado no prazo."	-	962-E-4/EMG/Cmdo Bda Inf Am
173-E4/2ª DE	Relatório de Prestação de Contas - Op REDENTOR	9 fev.	-157	Maj Filipe	RESOLVIDO	Orçamentário		"1. Verificar quais OMDS receberam recurso para essa missão.
2. Confeccionar DIEx para as OMDS cobrando o RPC assinado no prazo."	-	962-E-4/EMG/Cmdo Bda Inf Am
372-E3 EMG/EMG ESA/Gab S Cmt ESA	apoio de pessoal para a Solenidade de Entrega do Sabre 2026 	10 fev.	-156	ST Valter	RESOLVIDO	Trnp		"1. Verificar situação do ônibus para a ESA. 2.Verificar com o E1 quais OMDS irão ceder efetivo.
3. Confeccionar Doc às OMDS solicitando o Plj de Vtr cálculo de Cl III e Alimentação.
4. Missão: 1º à 07 Mar na ESA.
5. Confirmar Ap de ônibus da ESA - OK
6. Confeccionar Doc para Base, Sol catanho - OK"	"957-E-1/EMG/Cmdo Bda Inf Amv

1403-E-4/EMG/Cmdo Bda Inf Amv"	"961-E-4/EMG/Cmdo Bda Inf Amv

1125-E-4/EMG/Cmdo Bda Inf Amv"
"1383-Escalão Logístico/2ªRM

307-Div Trnp/BaApLog"""	Eixo Amazônico - 22º B Log Amv	10 fev.	-156	ST Valter	RESOLVIDO	-		1. Verificar com o 22º B Log Amv se foi Rlz o Ap.	-	-
-	1ª INSP FORPROM	10 fev.	-156	Maj Filipe	RESOLVIDO	PREPARO F TER		1. Verificar as autoavaliações enviadas pelas OMDS.	-	-
-	VISITA CMT CMSE	10 fev.	-156	-	RESOLVIDO	VISITAS		-	-	-
112-E4/2ª DE	Diretriz de Prontidão Logística 2026	11 fev.	-155	Maj Filipe	RESOLVIDO	PREPARO F TER		1. Encaminhar a Diretriz de Prontidão Logística 2026 às OMDS	1005-E-4/EMG/Cmdo Bda Inf Amv	-
459-E4/2ª DE	emissão de ODF	11 fev.	-155	Maj Filipe	RESOLVIDO	NOVOS MEM		1. Confeccionado Doc para o 22º B Log para retirada de MEM Cl VI no 2º BCmb.	 1002-E-4/EMG/Cmdo Bda Inf Amv	-
 466-E10/2ª DE	Almoxarifado Virtual Nacional (AVN) 2026 - Orientações Iniciais	11 fev.	-155	Maj Filipe	RESOLVIDO	-		"1. Confeccionado Doc para as OMDS que possuem autonomia Adm.
2. Doc encaminhado ao E10."	"
	1004-E-4/EMG/Cmdo Bda Inf Amv"	-
29-Seç Asse Ensino/EMG/Cmdo Bda Inf Amv	OSv nº 001 Asse Ensino/Bda Inf Amv - Distribuição de Responsabilidades de Preparaçãode Instruções e Exercícios no Terreno dos Cursos e Estágios da SIOpAmv para 2027	11 fev.	-155	Maj Filipe	ACOMPANHAR	PREPARO F TER		- Verificar as responsabilidades da Seçao		
-	Apoio ao CFC Aux Prec	12 fev.	-154	ST Valter	RESOLVIDO	Trnp		"1. Sol a van e Motorista para a Atv de ida.
2. Falta DIEx da volta - Ok"	"997-E-4/EMG/Cmdo Bda Inf Amv
1041-E-4/EMG/Cmdo Bda Inf Amv"	-
"2123-Escalão Logístico/2ªRM
421-E4/2ª DE"	Classe I - Orientações sobre o consumo de café - Circular	12 fev.	-154	ST Richardson	RESOLVIDO	Cl I  		2. Confeccionado Doc às OMDS.	1139-E-4/EMG/Cmdo Bda Inf Amv	-
197-S/4 - FAdm/SCmt/Cmt 2º BI AMV	solicitação de cota extra combustível ÓLEO DIESEL (OPERACIONAL) 2º BI Amv	12 fev.	-154	ST Richardson	RESOLVIDO	Cl III - Comb		Respondido no DIEx sobre a Irrigação 2	1312-E-4/EMG/Cmdo Bda Inf Amv	1272-E-4/EMG/Cmdo Bda Inf Amv
185-E4/2ª DE	níveis de estoque de rações operacionais	12 fev.	-154	Maj Filipe	RESOLVIDO	Cl I		"1. DIEX não tinha sido Rcb pela 4ª Seç.
2. Confeccionado Doc de resposta."	-	1074-E-4/EMG/Cmdo Bda Inf Amv
512-E4/2ª DE	camisa bege meia manga - 8º Uniforme - CIRCULAR	12 fev.	-154	Maj Filipe	RESOLVIDO	-		"1. Divulgado às OMDS.
2. Não comprar o novo tecido."	1067-E-4/EMG/Cmdo Bda Inf Amv	-
463-E4/2ª DE	Classe III - Distribuição de comb auto para IIB/26 (038-26)	12 fev.	-154	Maj Filipe	RESOLVIDO	Cl III - Comb		1. Doc confecionado para as OMDS.	994-E-4/EMG/Cmdo Bda Inf Amv	-
 320-E4/2ª DE	Classe V - Minuta de Diretriz de Consumo de Munição de Preparo da F Ter 2026	12 fev.	-154	Maj Filipe	RESOLVIDO	Cl V		"1. Doc confecionado para as OMDS.
2. Dtz entregue pelo E2."	1035-E-4/EMG/Cmdo Bda Inf Amv	-
514-E4/2ª DE	Plano para o gerenciamento de material Classe VIII - Saúde	12 fev.	-154	Maj Filipe	RESOLVIDO	Cl VIII - Sau		1. Doc confecionado para as OMDS.	1068-E-4/EMG/Cmdo Bda Inf Amv	-
553-Asse As Jurd/CMSE	pedido de acesso à informação - Lei de Acesso à Informação - NUP60143.005162/2025-06 - LAI	12 fev.	-154	Maj Filipe	RESOLVIDO	Cl IX		"1. A Vtr é um Chevrolet Vectra GL 2.2, ano 2001, que pertencia ao 1º Esqd C Amv.
2. 1º Esqd C já tinha confeccionado Doc para o CMSE - irá confeccionar outro para a Bda."	959-E-4/EMG/Cmdo Bda Inf Amv	1001-E-4/EMG/Cmdo Bda Inf Amv
542-E4/2ª DE	 Cl IX - planilha com a previsão inicial de Vtr Op e Adm a serem alienadas em 2026_CMSE_2DE	12 fev.	-154	Cap Luis Augusto	ACOMPANHAR	Desfazimento		"1. Confeccionado Doc às OMDS enviando planilha de Vtr a serem descarregadas - OK

12º Pel PE OK
2º BI Amv OK
6º BI Amv
5ª Bia AAe"	1134-E-4/EMG/Cmdo Bda Inf Amv	
" 95-4ª Sec/5ª Bia AAAe AMV

762-E4/2ª DE"	"Cl IX - situação de viatura (EB3412039352)

Cl IX - situação de viatura LAND ROVER DEFENDER EB3412039352_5BiaAAAe Amv"	12 fev.	-154	Cap Luis Augusto	ACOMPANHAR	Desfazimento		"1. A Vtr está no A105 RC Mec destruída e sendo Sol seu recolhimento pela SU

2. DIEx nº 3244-Escalão Logístico/2ªRM - Possível instauração de Sindicância

DIEx 357-4ª Sec/5ª Bia AAAe AMV para a 1ª RM"	1505-E-4/EMG/Cmdo Bda Inf Amv	
460-E4/2ª DE	Cl VI - disponibilidade de créditos orçamentários GND 3 - Mnt MEM Cl VI	12 fev.	-154	Maj Filipe	ACOMPANHAR	Cl VI		Doc confecionado para as OMDS	995-E-4/EMG/Cmdo Bda Inf Amv	
488-E4/2ª DE	PDR Log 2027 - retificação de calendário	13 fev.	-153	ST Valter	RESOLVIDO	Orçamentário		1. Confeccionar Doc às OMDS para não Rlz lançamentos - OK	1065-E-4/EMG/Cmdo Bda Inf Amv	-
"773-E4/Gab Ch EM/Bda Inf Pqdt
574-E3/E5/2ª DE"	solicitação de Apoio Logístico para a viagem de reconhecimento do Cur Prec - 2ºBECmb- Pindamonhangaba - SP	19 fev.	-147	Ten Glauco	RESOLVIDO	PREPARO F TER		"1.  Foi verificado com o Maj Luiz, E4 da Bda Inf Pqdt e o mesmo informou que a sol de Ap é para o 2º BE Cmb. 
2. A 2ª DE está ciente e o envio do DIEx para a Bda Inf Amv é para ciência que parte do Cur Prec será realizado na Gu de Lorena/SP, área do 5º BI Amv.  "	1244-E-4/EMG/Cmdo Bda Inf Amv	-
989-Asse Gestão/Cmdo Bda Inf Amv/Bda Inf Amv	Operador do Sistema de Gerenciamento de Projetos do Exército (GPEx) - Desiganção	19 fev.	-147	ST Valter	RESOLVIDO	-		"1. Confeccionar Doc de resposta com os dados do Ten Glauco.
2. Faltam apenas os dados do Ten Glauco."	-	64-E-4/EMG/Cmdo Bda Inf Amv
 1820-Escalão Logístico/2ªRM	Cl IX Moto - Informações para as Reuniões Blitaterais da SEF com os ComandosMilitares de Área	19 fev.	-147	ST Valter	RESOLVIDO	Cl IX		"1. Verificar se o 22º B Log irá responder a demanda no prazo - OK
2. Após contato O 22º B Log Amv informou que respondeu a 2ª RM através do DIEx nº 256 -COAL/22º B Log Amv de 09 de fevereiro de 2026."	-	256 -COAL/22º B Log Amv 
420-E4/2ª DE	Classe II - levantamento da necessidade de colete e capacete balístico	19 fev.	-147	ST Richardson	RESOLVIDO	Cl II		1. Levantar UU as necessidades de colete e capacete balístico - OK 	1140-E-4/EMG/Cmdo Bda Inf Amv	"1187-E-4/EMG/Cmdo Bda Inf Amv

2008-E4/2ª DE"
490-E4/2ª DE	Orientações para cadastramento de usuários no Sistema de Controle de Acesso (SCA) epara a atribuição de perfis no Sistema Integrado de Gestão Logística (SIGELOG)	19 fev.	-147	Maj Filipe	RESOLVIDO	Cl III - Comb		1. Doc confecionado para as OMDS.	1131-E-4/EMG/Cmdo Bda Inf Amv	-
493-E3/E5/2ª DE	Cl VI - Estágios Setoriais sobre Manutenção de Material de Engenharia no Centro de Instrução de Engenharia/2º Batalhão Ferroviário (CI Eng/2º B Fv)/2026	19 fev.	-147	Maj Filipe	RESOLVIDO	Cl VI		"1. Estágio de Manutenção de Geradores (EMGE). 2. Estágio de Manutenção e Operação de Motor de Popa (((EMOMP)). 
3. Estágio de Manutenção de Equipamento de Mergulho ((EMEM)).
4. Verificar Voluntários com as OMDS - OK (
5. Confeccionado Doc de respsota."	1132-E-4/EMG/Cmdo Bda Inf Amv	1157-E-4/EMG/Cmdo Bda Inf Amv
25-Seç Dout/EMG/Cmdo Bda Inf Amv	Curso sobre Doutrina	19 fev.	-147	Maj Filipe	RESOLVIDO	-		"1. Não achei o curso no EB Aula.
2. Verifiquei com o Cel Ribeiro Neto e está realmente com problema."	-	-
 411-E3/E5/2ª DE	Videoconferência (VC) para execução da Reunião de Desenvolvimento do Conceito(RDC) do Exercício Conjunto PERSEU 2026 - adiamento	19 fev.	-147	Maj Filipe	RESOLVIDO	PREPARO F TER		 VC preparatória para a RDC no dia 19 de fevereiro (quinta-feira), das 15:00 às 17:00 horas (horário de Brasília)	-	-
435-E3/E5/2ª DE	OM responsáveis pelo EBSTT, EAS, EST e apoios na Fase de IIB	19 fev.	-147	Maj Filipe	RESOLVIDO	PREPARO F TER		"- 276- Cia Instr/22º B Log Amv - OM Info que não possui Cpc de Ap
- Verificar com o 20º GAC Amv -  563-FISC/DA/BASE ADM"	-	A missão foi passada para outra OM fora da Bda. Sit resolvida junto à 2 DE. Não será necessário esse Doc.
461-E4/2ª DE	necessidade de recursos para aquisição de aeronave remotamente pilotada - DRONE	19 fev.	-147	Maj Filipe	RESOLVIDO	MEM		"- Confeccionado DIEx 1003-E-4/EMG/Cmdo Bda Inf Amv
- 6º BI Amv não tem interesse
- Cia Prec tem interesse em 1
- 1º Esqd C Amv - 180-FA/CMDO
- 20º GAC Amv - 601-S4/EM/20º GAC Amv"	-	-
111-S/3/CMDO	Atividade Alusiva à Tomada de Monte Castelo e Tomada de Montese	20 fev.	-146	Ten Glauco	RESOLVIDO	PREPARO F TER		"1. DIEx confeccionado aguardando análise do E4 e despacho junto ao CHEM. 
2. Foi anexado um planejamento do Trsnp Pes da missão. 
3. Todos os doc produzidos no E4 (Minuta do DIEx e os Anexos (em PDF e arquivos editados), a OS e An B da 1ª DE estão no drive, pasta Gerenciamento Logístico - Tomada de Monte Castelo - 1ª DE. "	"1357-E-3/EMG/Cmdo Bda Inf Amv

1407-E-4/EMG/Cmdo Bda Inf Amv
"	1437-E-4/EMG/Cmdo Bda Inf Amv
